timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
11,75EnBRPL2024/09/15,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,0.0000,0.0000,0.0000,93.3570,0.0000,39.6158,9.4015,62.4059,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,9.1354,31.8910,52.1649,73.6762,33.3675,25.4830,9.0317,8.3581,0.0000,19.7289,43.4237,0.0000,18.8214,30.5761,39.5413,0.0000,46.8167,24.6060,0.0000,0.0000,28.6504,0.0000,0.0000,0.0000,22.6848,4.5457,0.0000,0.0000,0.0000,19.6366,14.5327,12.3415,10.5359,8.5031,16.1277,21.4138,6.9854,59.2175,5.2309,2.8636,0.0000,0.0000,0.0000,192.9936,0.0000,0.0000,0.0000,26.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,21.6600,70.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,28.2600,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
12,75EnBRPL2024/09/15,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,0.0000,0.0000,0.0000,93.3570,0.0000,39.6158,9.4015,62.4059,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,9.1354,31.8910,52.1649,73.6762,33.3675,25.4830,9.0317,8.3581,0.0000,19.7289,43.4237,0.0000,18.8214,30.5761,39.5413,0.0000,46.8167,24.6060,0.0000,0.0000,28.6504,0.0000,0.0000,0.0000,22.6848,4.5457,0.0000,0.0000,0.0000,19.6366,14.5327,12.3415,10.5359,8.5031,16.1277,21.4138,6.9854,59.2175,5.2309,2.8636,0.0000,0.0000,0.0000,192.9936,0.0000,0.0000,0.0000,26.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,21.3400,70.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,28.2600,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
13,75EnBRPL2024/09/15,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,0.0000,0.0000,0.0000,93.3570,0.0000,39.6158,9.4015,62.4059,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,9.1354,31.8910,52.1649,73.6762,33.3675,25.4830,9.0317,8.3581,0.0000,19.7289,43.4237,0.0000,18.8214,30.5761,39.5413,0.0000,46.8167,24.6060,0.0000,0.0000,28.6504,0.0000,0.0000,0.0000,22.6848,4.5457,0.0000,0.0000,0.0000,19.6366,13.5852,12.3415,10.5359,8.5031,16.1277,21.4138,6.9854,59.2175,5.1738,2.8636,0.0000,0.0000,0.0000,192.9936,0.0000,0.0000,0.0000,26.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,21.0000,70.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,27.7600,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
14,75EnBRPL2024/09/15,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,0.0000,0.0000,0.0000,93.3570,0.0000,39.6158,9.4015,62.4059,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,9.1354,31.8910,52.1649,73.6762,33.3675,25.4830,9.0317,8.3581,0.0000,19.7289,43.4237,0.0000,18.8214,30.5761,39.5413,0.0000,46.8167,24.6060,0.0000,0.0000,28.6504,0.0000,0.0000,0.0000,22.6848,4.5457,0.0000,0.0000,0.0000,22.0610,13.5852,12.3415,10.5359,8.5031,16.1277,21.4138,6.9854,59.2175,5.1738,2.8636,0.0000,0.0000,0.0000,192.9936,0.0000,0.0000,0.0000,25.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,20.6600,69.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,27.7600,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
15,75EnBRPL2024/09/15,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,0.0000,0.0000,0.0000,93.3570,0.0000,39.6158,9.4015,62.4059,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,9.1354,31.8910,52.1649,73.6762,33.3675,25.4830,9.0317,8.3581,0.0000,19.7289,43.4237,0.0000,18.8214,30.5761,39.5413,0.0000,46.8167,24.6060,0.0000,0.0000,28.6504,0.0000,0.0000,0.0000,22.6848,4.5457,0.0000,0.0000,0.0000,22.0610,13.5852,12.3415,10.5359,8.5031,16.1277,21.4138,6.9854,48.5422,5.1738,2.8636,0.0000,0.0000,0.0000,192.9936,0.0000,0.0000,0.0000,26.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,29.6600,69.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,27.7600,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
16,75EnBRPL2024/09/15,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,0.0000,0.0000,0.0000,93.3570,0.0000,39.6158,9.4015,62.4059,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,9.1354,31.8910,52.1649,73.6762,33.3675,25.4830,9.0317,8.3581,0.0000,19.7289,43.4237,0.0000,18.8214,30.5761,39.5413,0.0000,46.8167,24.6060,0.0000,0.0000,28.6504,0.0000,0.0000,0.0000,22.6848,4.5457,0.0000,0.0000,0.0000,22.0610,13.5852,6.1708,10.5359,8.5031,16.1277,21.4138,6.9854,48.5422,5.1738,2.8636,0.0000,0.0000,0.0000,192.9936,0.0000,0.0000,0.0000,25.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,29.3400,68.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,27.7600,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
17,75EnBRPL2024/09/15,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,0.0000,0.0000,0.0000,93.3570,0.0000,39.6158,9.4015,62.4059,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,9.1354,31.8910,52.1649,73.6762,33.3675,25.4830,9.0317,8.3581,0.0000,19.7289,43.4237,0.0000,18.8214,30.5761,39.5413,0.0000,46.8167,24.6060,0.0000,0.0000,28.6504,0.0000,0.0000,0.0000,22.6848,4.6731,0.0000,0.0000,0.0000,19.6366,13.5852,6.1708,10.5359,8.5031,16.1277,21.4138,6.9854,48.5422,5.7096,2.8636,0.0000,0.0000,0.0000,192.9936,0.0000,0.0000,0.0000,25.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,24.0000,68.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,27.7600,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
18,75EnBRPL2024/09/15,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,0.0000,0.0000,0.0000,93.3570,0.0000,39.6158,9.4015,62.4059,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,9.1354,31.8910,52.1649,73.6762,33.3675,25.4830,9.0317,8.3581,0.0000,19.7289,43.4237,0.0000,18.8214,30.5761,39.5413,0.0000,46.8167,24.6060,0.0000,0.0000,28.6504,0.0000,0.0000,0.0000,22.6848,4.6072,0.0000,0.0000,0.0000,19.6366,13.5852,6.1708,10.5359,8.5031,16.1277,21.4138,6.9854,48.5422,5.7096,2.8636,0.0000,0.0000,0.0000,192.9936,0.0000,0.0000,0.0000,25.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,23.6600,68.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,27.7600,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
19,75EnBRPL2024/09/15,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,0.0000,0.0000,0.0000,93.3570,0.0000,39.6158,9.4015,62.4059,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,9.1354,31.8910,52.1649,73.6762,33.3675,25.4830,9.0317,8.3581,0.0000,19.7289,43.4237,0.0000,18.8214,30.5761,39.5413,0.0000,46.8167,24.6060,0.0000,0.0000,28.6504,0.0000,0.0000,0.0000,22.6848,4.5457,0.0000,0.0000,0.0000,19.6366,13.5852,0.0000,10.5359,8.5031,16.1277,21.4138,6.9854,37.2776,5.7096,2.8636,0.0000,0.0000,0.0000,192.9936,0.0000,0.0000,0.0000,25.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,20.0000,67.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,27.2500,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
20,75EnBRPL2024/09/15,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,0.0000,0.0000,0.0000,93.3570,0.0000,39.6158,9.4015,62.4059,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,9.1354,31.8910,52.1649,73.6762,33.3675,25.4830,9.0317,8.3581,0.0000,19.7289,43.4237,0.0000,18.8214,30.5761,39.5413,0.0000,46.8167,24.6060,0.0000,0.0000,28.6504,0.0000,0.0000,0.0000,22.6848,4.4315,0.0000,0.0000,0.0000,22.0610,13.5852,0.0000,10.5359,8.5031,16.1277,21.4138,6.9854,37.2776,5.7096,2.8636,0.0000,0.0000,0.0000,192.9936,0.0000,0.0000,0.0000,25.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,19.3400,67.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,27.2500,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
